term,week,day of week,class,time spent (min)
sp24,9,Monday,ASTR 210,0.0
sp24,9,Tuesday,STAT 207,0.0
sp24,9,Tuesday,GEOL 107,0.0
sp24,9,Tuesday,ASTR 210,0.0
sp24,9,Tuesday,MATH 257,0.0
sp24,9,Wednesday,MATH 257,0.0
sp24,9,Wednesday,STAT 207,0.0
sp24,9,Wednesday,ASTR 210,0.0
sp24,9,Wednesday,GEOL 107,0.0
sp24,9,Thursday,STAT 207,0.0
sp24,9,Thursday,ASTR 210,0.0
sp24,9,Thursday,GEOL 107,0.0
sp24,9,Thursday,MATH 257,0.0
sp24,9,Friday,STAT 207,0.0
sp24,9,Friday,GEOL 107,0.0
sp24,9,Friday,ASTR 210,0.0
sp24,9,Friday,MATH 257,0.0
sp24,9,Saturday,STAT 207,0.0
sp24,9,Saturday,MATH 257,0.0
sp24,9,Saturday,GEOL 107,0.0
sp24,9,Saturday,ASTR 210,0.0
sp24,9,Sunday,MATH 257,0.0
sp24,9,Sunday,GEOL 107,0.0
sp24,9,Sunday,STAT 207,0.0
sp24,9,Sunday,ANTH 103,0.0
sp24,9,Sunday,ASTR 210,15.0
sp24,10,Monday,MATH 257,75.0
sp24,10,Monday,ANTH 103,45.0
sp24,10,Monday,ASTR 210,0.0
sp24,10,Monday,GEOL 107,90.0
sp24,10,Monday,STAT 207,45.0
sp24,10,Tuesday,MATH 257,0.0
sp24,10,Tuesday,ASTR 210,90.0
sp24,10,Tuesday,GEOL 107,75.0
sp24,10,Tuesday,ANTH 103,90.0
sp24,10,Tuesday,STAT 207,0.0
sp24,10,Wednesday,STAT 207,0.0
sp24,10,Wednesday,ANTH 103,0.0
sp24,10,Wednesday,ASTR 210,30.0
sp24,10,Wednesday,GEOL 107,15.0
sp24,10,Wednesday,MATH 257,150.0
sp24,10,Thursday,ANTH 103,60.0
sp24,10,Thursday,ASTR 210,0.0
sp24,10,Thursday,STAT 207,90.0
sp24,10,Thursday,GEOL 107,0.0
sp24,10,Thursday,MATH 257,45.0
sp24,10,Friday,ASTR 210,45.0
sp24,10,Friday,STAT 207,0.0
sp24,10,Friday,MATH 257,0.0
sp24,10,Friday,ANTH 103,75.0
sp24,10,Friday,GEOL 107,0.0
sp24,10,Saturday,STAT 207,0.0
sp24,10,Saturday,MATH 257,0.0
sp24,10,Saturday,ASTR 210,0.0
sp24,10,Saturday,ANTH 103,0.0
sp24,10,Saturday,GEOL 107,0.0
sp24,10,Sunday,STAT 207,0.0
sp24,10,Sunday,ANTH 103,0.0
sp24,10,Sunday,ASTR 210,0.0
sp24,10,Sunday,MATH 257,0.0
sp24,10,Sunday,GEOL 107,0.0
sp24,11,Monday,MATH 257,60.0
sp24,11,Monday,STAT 207,0.0
sp24,11,Monday,ASTR 210,165.0
sp24,11,Monday,GEOL 107,0.0
sp24,11,Monday,ANTH 103,0.0
sp24,11,Tuesday,STAT 207,180.0
sp24,11,Tuesday,GEOL 107,45.0
sp24,11,Tuesday,MATH 257,0.0
sp24,11,Tuesday,ANTH 103,15.0
sp24,11,Tuesday,ASTR 210,60.0
sp24,11,Wednesday,MATH 257,135.0
sp24,11,Wednesday,ANTH 103,45.0
sp24,11,Wednesday,GEOL 107,0.0
sp24,11,Wednesday,ASTR 210,75.0
sp24,11,Wednesday,STAT 207,60.0
sp24,11,Thursday,ASTR 210,0.0
sp24,11,Thursday,GEOL 107,0.0
sp24,11,Thursday,STAT 207,0.0
sp24,11,Thursday,MATH 257,0.0
sp24,11,Thursday,ANTH 103,120.0
sp24,11,Friday,ASTR 210,0.0
sp24,11,Friday,MATH 257,0.0
sp24,11,Friday,ANTH 103,45.0
sp24,11,Friday,STAT 207,60.0
sp24,11,Friday,GEOL 107,0.0
sp24,11,Saturday,ANTH 103,0.0
sp24,11,Saturday,MATH 257,0.0
sp24,11,Saturday,ASTR 210,0.0
sp24,11,Saturday,STAT 207,90.0
sp24,11,Saturday,GEOL 107,0.0
sp24,11,Sunday,ANTH 103,0.0
sp24,11,Sunday,GEOL 107,0.0
sp24,11,Sunday,STAT 207,0.0
sp24,11,Sunday,ASTR 210,0.0
sp24,11,Sunday,MATH 257,0.0
sp24,12,Monday,MATH 257,60.0
sp24,12,Monday,ASTR 210,200.0
sp24,12,Monday,ANTH 103,0.0
sp24,12,Monday,STAT 207,0.0
sp24,12,Monday,GEOL 107,0.0
sp24,12,Tuesday,STAT 207,105.0
sp24,12,Tuesday,ANTH 103,0.0
sp24,12,Tuesday,MATH 257,0.0
sp24,12,Tuesday,GEOL 107,75.0
sp24,12,Tuesday,ASTR 210,130.0
sp24,12,Wednesday,ANTH 103,70.0
sp24,12,Wednesday,MATH 257,90.0
sp24,12,Wednesday,GEOL 107,0.0
sp24,12,Wednesday,STAT 207,60.0
sp24,12,Wednesday,ASTR 210,0.0
sp24,12,Thursday,ASTR 210,0.0
sp24,12,Thursday,GEOL 107,0.0
sp24,12,Thursday,STAT 207,40.0
sp24,12,Thursday,MATH 257,80.0
sp24,12,Thursday,ANTH 103,45.0
sp24,12,Friday,ASTR 210,0.0
sp24,12,Friday,GEOL 107,0.0
sp24,12,Friday,MATH 257,0.0
sp24,12,Friday,STAT 207,15.0
sp24,12,Friday,ANTH 103,75.0
sp24,12,Saturday,ASTR 210,0.0
sp24,12,Saturday,STAT 207,0.0
sp24,12,Saturday,GEOL 107,0.0
sp24,12,Saturday,ANTH 103,0.0
sp24,12,Saturday,MATH 257,90.0
sp24,12,Sunday,MATH 257,105.0
sp24,12,Sunday,GEOL 107,0.0
sp24,12,Sunday,ASTR 210,0.0
sp24,12,Sunday,STAT 207,0.0
sp24,12,Sunday,ANTH 103,45.0
sp24,13,Monday,ANTH 103,0.0
sp24,13,Monday,MATH 257,0.0
sp24,13,Monday,ASTR 210,0.0
sp24,13,Monday,STAT 207,0.0
sp24,13,Monday,GEOL 107,0.0
sp24,13,Tuesday,MATH 257,0.0
sp24,13,Tuesday,ASTR 210,0.0
sp24,13,Tuesday,GEOL 107,75.0
sp24,13,Tuesday,STAT 207,0.0
sp24,13,Tuesday,ANTH 103,5.0
sp24,13,Wednesday,MATH 257,0.0
sp24,13,Wednesday,ANTH 103,0.0
sp24,13,Wednesday,ASTR 210,0.0
sp24,13,Wednesday,GEOL 107,0.0
sp24,13,Wednesday,STAT 207,0.0
sp24,13,Thursday,GEOL 107,0.0
sp24,13,Thursday,MATH 257,0.0
sp24,13,Thursday,ASTR 210,0.0
sp24,13,Thursday,ANTH 103,150.0
sp24,13,Thursday,STAT 207,0.0
sp24,13,Friday,MATH 257,0.0
sp24,13,Friday,GEOL 107,0.0
sp24,13,Friday,ANTH 103,60.0
sp24,13,Friday,STAT 207,0.0
sp24,13,Friday,ASTR 210,45.0
sp24,13,Saturday,GEOL 107,0.0
sp24,13,Saturday,MATH 257,0.0
sp24,13,Saturday,ANTH 103,30.0
sp24,13,Saturday,ASTR 210,0.0
sp24,13,Saturday,STAT 207,0.0
sp24,13,Sunday,ASTR 210,225.0
sp24,13,Sunday,ANTH 103,0.0
sp24,13,Sunday,GEOL 107,0.0
sp24,13,Sunday,MATH 257,0.0
sp24,13,Sunday,STAT 207,0.0
sp24,14,Monday,ASTR 210,0.0
sp24,14,Monday,STAT 207,35.0
sp24,14,Monday,MATH 257,215.0
sp24,14,Monday,ANTH 103,10.0
sp24,14,Monday,GEOL 107,40.0
sp24,14,Tuesday,MATH 257,75.0
sp24,14,Tuesday,ANTH 103,0.0
sp24,14,Tuesday,STAT 207,120.0
sp24,14,Tuesday,GEOL 107,40.0
sp24,14,Tuesday,ASTR 210,90.0
sp24,14,Wednesday,ANTH 103,45.0
sp24,14,Wednesday,STAT 207,0.0
sp24,14,Wednesday,GEOL 107,0.0
sp24,14,Wednesday,MATH 257,90.0
sp24,14,Wednesday,ASTR 210,105.0
sp24,14,Thursday,ANTH 103,130.0
sp24,14,Thursday,STAT 207,0.0
sp24,14,Thursday,GEOL 107,0.0
sp24,14,Thursday,MATH 257,75.0
sp24,14,Thursday,ASTR 210,0.0
sp24,14,Friday,ASTR 210,20.0
sp24,14,Friday,GEOL 107,0.0
sp24,14,Friday,ANTH 103,50.0
sp24,14,Friday,STAT 207,0.0
sp24,14,Friday,MATH 257,0.0
sp24,14,Saturday,GEOL 107,0.0
sp24,14,Saturday,STAT 207,0.0
sp24,14,Saturday,MATH 257,60.0
sp24,14,Saturday,ANTH 103,0.0
sp24,14,Saturday,ASTR 210,75.0
sp24,14,Sunday,STAT 207,0.0
sp24,14,Sunday,ANTH 103,0.0
sp24,14,Sunday,GEOL 107,50.0
sp24,14,Sunday,ASTR 210,105.0
sp24,14,Sunday,MATH 257,15.0
sp24,15,Monday,STAT 207,60.0
sp24,15,Monday,MATH 257,0.0
sp24,15,Monday,ANTH 103,10.0
sp24,15,Monday,GEOL 107,0.0
sp24,15,Monday,ASTR 210,30.0
sp24,15,Tuesday,MATH 257,105.0
sp24,15,Tuesday,ASTR 210,0.0
sp24,15,Tuesday,GEOL 107,15.0
sp24,15,Tuesday,STAT 207,45.0
sp24,15,Tuesday,ANTH 103,75.0
sp24,15,Wednesday,ASTR 210,90.0
sp24,15,Wednesday,STAT 207,60.0
sp24,15,Wednesday,GEOL 107,0.0
sp24,15,Wednesday,ANTH 103,120.0
sp24,15,Wednesday,MATH 257,0.0
sp24,15,Thursday,ASTR 210,15.0
sp24,15,Thursday,STAT 207,90.0
sp24,15,Thursday,MATH 257,0.0
sp24,15,Thursday,ANTH 103,60.0
sp24,15,Thursday,GEOL 107,0.0
sp24,15,Friday,STAT 207,105.0
sp24,15,Friday,ASTR 210,0.0
sp24,15,Friday,GEOL 107,0.0
sp24,15,Friday,MATH 257,0.0
sp24,15,Friday,ANTH 103,15.0
fa24,1,Monday,GEOL 208,0.0
fa24,1,Monday,CHEM 102,0.0
fa24,1,Monday,ASTR 310,0.0
fa24,1,Monday,IS 477,0.0
fa24,1,Monday,ACES 179,0.0
fa24,1,Monday,CHEM 103,0.0
fa24,1,Tuesday,GEOL 208,0.0
fa24,1,Tuesday,IS 477,0.0
fa24,1,Tuesday,CHEM 102,0.0
fa24,1,Tuesday,CHEM 103,0.0
fa24,1,Tuesday,ACES 179,90.0
fa24,1,Tuesday,ASTR 310,0.0
fa24,1,Wednesday,ACES 179,55.0
fa24,1,Wednesday,ASTR 310,15.0
fa24,1,Wednesday,IS 477,90.0
fa24,1,Wednesday,CHEM 102,0.0
fa24,1,Wednesday,GEOL 208,0.0
fa24,1,Wednesday,CHEM 103,0.0
fa24,1,Thursday,ASTR 310,0.0
fa24,1,Thursday,GEOL 208,0.0
fa24,1,Thursday,CHEM 102,0.0
fa24,1,Thursday,CHEM 103,0.0
fa24,1,Thursday,ACES 179,0.0
fa24,1,Thursday,IS 477,0.0
fa24,1,Friday,GEOL 208,0.0
fa24,1,Friday,ACES 179,0.0
fa24,1,Friday,CHEM 102,30.0
fa24,1,Friday,ASTR 310,0.0
fa24,1,Friday,IS 477,0.0
fa24,1,Friday,CHEM 103,0.0
fa24,1,Saturday,CHEM 103,0.0
fa24,1,Saturday,ACES 179,0.0
fa24,1,Saturday,CHEM 102,0.0
fa24,1,Saturday,ASTR 310,0.0
fa24,1,Saturday,IS 477,0.0
fa24,1,Saturday,GEOL 208,0.0
fa24,1,Sunday,ASTR 310,15.0
fa24,1,Sunday,GEOL 208,0.0
fa24,1,Sunday,ACES 179,60.0
fa24,1,Sunday,CHEM 102,0.0
fa24,1,Sunday,CHEM 103,0.0
fa24,1,Sunday,IS 477,0.0
fa24,2,Monday,GEOL 208,0.0
fa24,2,Monday,CHEM 103,0.0
fa24,2,Monday,ACES 179,0.0
fa24,2,Monday,IS 477,0.0
fa24,2,Monday,CHEM 102,0.0
fa24,2,Monday,ASTR 310,0.0
fa24,2,Tuesday,ASTR 310,30.0
fa24,2,Tuesday,ACES 179,0.0
fa24,2,Tuesday,CHEM 103,0.0
fa24,2,Tuesday,CHEM 102,0.0
fa24,2,Tuesday,GEOL 208,0.0
fa24,2,Tuesday,IS 477,0.0
fa24,2,Wednesday,CHEM 103,0.0
fa24,2,Wednesday,CHEM 102,0.0
fa24,2,Wednesday,ASTR 310,15.0
fa24,2,Wednesday,GEOL 208,15.0
fa24,2,Wednesday,IS 477,0.0
fa24,2,Wednesday,ACES 179,90.0
fa24,2,Thursday,ACES 179,0.0
fa24,2,Thursday,ASTR 310,0.0
fa24,2,Thursday,GEOL 208,0.0
fa24,2,Thursday,IS 477,0.0
fa24,2,Thursday,CHEM 103,0.0
fa24,2,Thursday,CHEM 102,0.0
fa24,2,Friday,ACES 179,0.0
fa24,2,Friday,CHEM 103,0.0
fa24,2,Friday,GEOL 208,0.0
fa24,2,Friday,CHEM 102,0.0
fa24,2,Friday,IS 477,0.0
fa24,2,Friday,ASTR 310,0.0
fa24,2,Saturday,GEOL 208,0.0
fa24,2,Saturday,CHEM 102,30.0
fa24,2,Saturday,ASTR 310,0.0
fa24,2,Saturday,CHEM 103,90.0
fa24,2,Saturday,IS 477,0.0
fa24,2,Saturday,ACES 179,0.0
fa24,2,Sunday,ASTR 310,0.0
fa24,2,Sunday,IS 477,105.0
fa24,2,Sunday,CHEM 103,30.0
fa24,2,Sunday,ACES 179,0.0
fa24,2,Sunday,GEOL 208,0.0
fa24,2,Sunday,CHEM 102,0.0
fa24,3,Monday,ASTR 310,0.0
fa24,3,Monday,ACES 179,60.0
fa24,3,Monday,CHEM 102,30.0
fa24,3,Monday,CHEM 103,0.0
fa24,3,Monday,GEOL 208,0.0
fa24,3,Monday,IS 477,0.0
fa24,3,Tuesday,CHEM 103,0.0
fa24,3,Tuesday,CHEM 102,15.0
fa24,3,Tuesday,IS 477,0.0
fa24,3,Tuesday,GEOL 208,60.0
fa24,3,Tuesday,ACES 179,0.0
fa24,3,Tuesday,ASTR 310,0.0
fa24,3,Wednesday,CHEM 103,0.0
fa24,3,Wednesday,IS 477,0.0
fa24,3,Wednesday,ASTR 310,0.0
fa24,3,Wednesday,CHEM 102,0.0
fa24,3,Wednesday,GEOL 208,15.0
fa24,3,Wednesday,ACES 179,0.0
fa24,3,Thursday,CHEM 103,0.0
fa24,3,Thursday,ASTR 310,0.0
fa24,3,Thursday,CHEM 102,105.0
fa24,3,Thursday,GEOL 208,0.0
fa24,3,Thursday,ACES 179,0.0
fa24,3,Thursday,IS 477,75.0
fa24,3,Friday,IS 477,0.0
fa24,3,Friday,GEOL 208,0.0
fa24,3,Friday,CHEM 102,0.0
fa24,3,Friday,ACES 179,0.0
fa24,3,Friday,CHEM 103,0.0
fa24,3,Friday,ASTR 310,0.0
fa24,3,Saturday,CHEM 103,0.0
fa24,3,Saturday,GEOL 208,0.0
fa24,3,Saturday,CHEM 102,45.0
fa24,3,Saturday,ACES 179,0.0
fa24,3,Saturday,ASTR 310,75.0
fa24,3,Saturday,IS 477,0.0
fa24,3,Sunday,ACES 179,135.0
fa24,3,Sunday,ASTR 310,0.0
fa24,3,Sunday,CHEM 102,45.0
fa24,3,Sunday,CHEM 103,0.0
fa24,3,Sunday,GEOL 208,0.0
fa24,3,Sunday,IS 477,0.0
fa24,4,Monday,ASTR 310,0.0
fa24,4,Monday,ACES 179,75.0
fa24,4,Monday,CHEM 103,0.0
fa24,4,Monday,CHEM 102,0.0
fa24,4,Monday,GEOL 208,0.0
fa24,4,Monday,IS 477,0.0
fa24,4,Tuesday,IS 477,120.0
fa24,4,Tuesday,GEOL 208,0.0
fa24,4,Tuesday,CHEM 103,60.0
fa24,4,Tuesday,CHEM 102,0.0
fa24,4,Tuesday,ASTR 310,0.0
fa24,4,Tuesday,ACES 179,0.0
fa24,4,Wednesday,IS 477,45.0
fa24,4,Wednesday,CHEM 103,0.0
fa24,4,Wednesday,CHEM 102,30.0
fa24,4,Wednesday,GEOL 208,0.0
fa24,4,Wednesday,ASTR 310,10.0
fa24,4,Wednesday,ACES 179,90.0
fa24,4,Thursday,CHEM 102,0.0
fa24,4,Thursday,ASTR 310,0.0
fa24,4,Thursday,ACES 179,60.0
fa24,4,Thursday,GEOL 208,15.0
fa24,4,Thursday,CHEM 103,0.0
fa24,4,Thursday,IS 477,0.0
fa24,4,Friday,ASTR 310,0.0
fa24,4,Friday,ACES 179,0.0
fa24,4,Friday,GEOL 208,0.0
fa24,4,Friday,CHEM 103,0.0
fa24,4,Friday,CHEM 102,0.0
fa24,4,Friday,IS 477,0.0
fa24,4,Saturday,ASTR 310,0.0
fa24,4,Saturday,GEOL 208,0.0
fa24,4,Saturday,IS 477,0.0
fa24,4,Saturday,ACES 179,0.0
fa24,4,Saturday,CHEM 102,0.0
fa24,4,Saturday,CHEM 103,0.0
fa24,4,Sunday,ASTR 310,120.0
fa24,4,Sunday,GEOL 208,30.0
fa24,4,Sunday,CHEM 103,30.0
fa24,4,Sunday,IS 477,0.0
fa24,4,Sunday,ACES 179,0.0
fa24,4,Sunday,CHEM 102,15.0
fa24,5,Monday,ACES 179,0.0
fa24,5,Monday,CHEM 103,0.0
fa24,5,Monday,IS 477,0.0
fa24,5,Monday,ASTR 310,0.0
fa24,5,Monday,GEOL 208,60.0
fa24,5,Monday,CHEM 102,50.0
fa24,5,Tuesday,CHEM 102,0.0
fa24,5,Tuesday,GEOL 208,0.0
fa24,5,Tuesday,ACES 179,105.0
fa24,5,Tuesday,IS 477,0.0
fa24,5,Tuesday,CHEM 103,15.0
fa24,5,Tuesday,ASTR 310,0.0
fa24,5,Wednesday,IS 477,90.0
fa24,5,Wednesday,CHEM 102,90.0
fa24,5,Wednesday,ACES 179,0.0
fa24,5,Wednesday,GEOL 208,0.0
fa24,5,Wednesday,ASTR 310,0.0
fa24,5,Wednesday,CHEM 103,0.0
fa24,5,Thursday,GEOL 208,15.0
fa24,5,Thursday,CHEM 103,0.0
fa24,5,Thursday,ASTR 310,0.0
fa24,5,Thursday,ACES 179,0.0
fa24,5,Thursday,IS 477,0.0
fa24,5,Thursday,CHEM 102,0.0
fa24,5,Friday,GEOL 208,0.0
fa24,5,Friday,CHEM 103,0.0
fa24,5,Friday,ACES 179,0.0
fa24,5,Friday,IS 477,0.0
fa24,5,Friday,ASTR 310,0.0
fa24,5,Friday,CHEM 102,0.0
fa24,5,Saturday,ACES 179,0.0
fa24,5,Saturday,GEOL 208,60.0
fa24,5,Saturday,IS 477,0.0
fa24,5,Saturday,CHEM 103,15.0
fa24,5,Saturday,ASTR 310,30.0
fa24,5,Saturday,CHEM 102,0.0
fa24,5,Sunday,ACES 179,0.0
fa24,5,Sunday,GEOL 208,15.0
fa24,5,Sunday,CHEM 102,160.0
fa24,5,Sunday,IS 477,0.0
fa24,5,Sunday,CHEM 103,0.0
fa24,5,Sunday,ASTR 310,0.0
fa24,6,Monday,GEOL 208,0.0
fa24,6,Monday,ACES 179,75.0
fa24,6,Monday,IS 477,0.0
fa24,6,Monday,ASTR 310,15.0
fa24,6,Monday,CHEM 103,0.0
fa24,6,Monday,CHEM 102,15.0
fa24,6,Tuesday,IS 477,0.0
fa24,6,Tuesday,ASTR 310,0.0
fa24,6,Tuesday,CHEM 103,45.0
fa24,6,Tuesday,GEOL 208,0.0
fa24,6,Tuesday,CHEM 102,0.0
fa24,6,Tuesday,ACES 179,0.0
fa24,6,Wednesday,ACES 179,0.0
fa24,6,Wednesday,IS 477,45.0
fa24,6,Wednesday,ASTR 310,5.0
fa24,6,Wednesday,CHEM 103,0.0
fa24,6,Wednesday,CHEM 102,45.0
fa24,6,Wednesday,GEOL 208,0.0
fa24,6,Thursday,IS 477,0.0
fa24,6,Thursday,CHEM 103,0.0
fa24,6,Thursday,CHEM 102,90.0
fa24,6,Thursday,ASTR 310,0.0
fa24,6,Thursday,ACES 179,0.0
fa24,6,Thursday,GEOL 208,0.0
fa24,6,Friday,CHEM 102,0.0
fa24,6,Friday,CHEM 103,0.0
fa24,6,Friday,IS 477,0.0
fa24,6,Friday,ASTR 310,0.0
fa24,6,Friday,ACES 179,0.0
fa24,6,Friday,GEOL 208,0.0
fa24,6,Saturday,CHEM 102,0.0
fa24,6,Saturday,CHEM 103,0.0
fa24,6,Saturday,ACES 179,0.0
fa24,6,Saturday,IS 477,0.0
fa24,6,Saturday,GEOL 208,0.0
fa24,6,Saturday,ASTR 310,0.0
fa24,6,Sunday,GEOL 208,0.0
fa24,6,Sunday,IS 477,60.0
fa24,6,Sunday,CHEM 102,0.0
fa24,6,Sunday,ASTR 310,150.0
fa24,6,Sunday,CHEM 103,45.0
fa24,6,Sunday,ACES 179,0.0
fa24,7,Monday,IS 477,0.0
fa24,7,Monday,CHEM 102,45.0
fa24,7,Monday,CHEM 103,0.0
fa24,7,Monday,ASTR 310,10.0
fa24,7,Monday,ACES 179,75.0
fa24,7,Monday,GEOL 208,0.0
fa24,7,Tuesday,GEOL 208,45.0
fa24,7,Tuesday,CHEM 103,75.0
fa24,7,Tuesday,CHEM 102,135.0
fa24,7,Tuesday,ACES 179,0.0
fa24,7,Tuesday,ASTR 310,0.0
fa24,7,Tuesday,IS 477,0.0
fa24,7,Wednesday,GEOL 208,60.0
fa24,7,Wednesday,ASTR 310,15.0
fa24,7,Wednesday,CHEM 103,0.0
fa24,7,Wednesday,ACES 179,0.0
fa24,7,Wednesday,IS 477,15.0
fa24,7,Wednesday,CHEM 102,75.0
fa24,7,Thursday,ASTR 310,75.0
fa24,7,Thursday,CHEM 102,15.0
fa24,7,Thursday,IS 477,45.0
fa24,7,Thursday,ACES 179,30.0
fa24,7,Thursday,CHEM 103,0.0
fa24,7,Thursday,GEOL 208,15.0
fa24,7,Friday,ACES 179,60.0
fa24,7,Friday,IS 477,0.0
fa24,7,Friday,CHEM 103,30.0
fa24,7,Friday,GEOL 208,0.0
fa24,7,Friday,ASTR 310,30.0
fa24,7,Friday,CHEM 102,0.0
fa24,7,Saturday,GEOL 208,0.0
fa24,7,Saturday,ACES 179,60.0
fa24,7,Saturday,IS 477,0.0
fa24,7,Saturday,CHEM 102,180.0
fa24,7,Saturday,ASTR 310,0.0
fa24,7,Saturday,CHEM 103,0.0
fa24,7,Sunday,ASTR 310,0.0
fa24,7,Sunday,GEOL 208,90.0
fa24,7,Sunday,IS 477,75.0
fa24,7,Sunday,CHEM 103,0.0
fa24,7,Sunday,CHEM 102,0.0
fa24,7,Sunday,ACES 179,60.0
fa24,8,Monday,ACES 179,0.0
fa24,8,Monday,CHEM 102,15.0
fa24,8,Monday,ASTR 310,5.0
fa24,8,Monday,IS 477,90.0
fa24,8,Monday,CHEM 103,0.0
fa24,8,Monday,GEOL 208,90.0
fa24,8,Tuesday,IS 477,75.0
fa24,8,Tuesday,GEOL 208,30.0
fa24,8,Tuesday,ACES 179,165.0
fa24,8,Tuesday,ASTR 310,0.0
fa24,8,Tuesday,CHEM 102,0.0
fa24,8,Tuesday,CHEM 103,45.0
fa24,8,Wednesday,ACES 179,105.0
fa24,8,Wednesday,GEOL 208,45.0
fa24,8,Wednesday,ASTR 310,5.0
fa24,8,Wednesday,CHEM 102,15.0
fa24,8,Wednesday,CHEM 103,15.0
fa24,8,Wednesday,IS 477,0.0
fa24,8,Thursday,GEOL 208,0.0
fa24,8,Thursday,CHEM 102,0.0
fa24,8,Thursday,CHEM 103,0.0
fa24,8,Thursday,ASTR 310,0.0
fa24,8,Thursday,IS 477,30.0
fa24,8,Thursday,ACES 179,30.0
fa24,8,Friday,CHEM 102,30.0
fa24,8,Friday,CHEM 103,0.0
fa24,8,Friday,ACES 179,0.0
fa24,8,Friday,GEOL 208,0.0
fa24,8,Friday,ASTR 310,90.0
fa24,8,Friday,IS 477,0.0
fa24,8,Saturday,CHEM 102,0.0
fa24,8,Saturday,CHEM 103,0.0
fa24,8,Saturday,ACES 179,0.0
fa24,8,Saturday,GEOL 208,0.0
fa24,8,Saturday,ASTR 310,0.0
fa24,8,Saturday,IS 477,0.0
fa24,8,Sunday,CHEM 103,0.0
fa24,8,Sunday,ASTR 310,0.0
fa24,8,Sunday,CHEM 102,0.0
fa24,8,Sunday,GEOL 208,0.0
fa24,8,Sunday,IS 477,0.0
fa24,8,Sunday,ACES 179,0.0
