Date,PHYS 214,PHYS 213,STAT 107,MATH 241,LAS 101,HIST 164
8/21/23,,,,,,
8/22/23,,,,,,
8/23/23,,,,,,
8/24/23,,,,,,
8/25/23,,,,,,
8/26/23,,,,,,
8/27/23,,,,,,
8/28/23,,,,,,
8/29/23,,,,,,
8/30/23,,,,,,
8/31/23,,,,,,
9/1/23,,,,,,
9/2/23,,,,,,
9/3/23,,,,,,
9/4/23,,,,,,
9/5/23,,,,,,
9/6/23,,,,,,
9/7/23,,,,,,
9/8/23,,,,,,
9/9/23,,,,,,
9/10/23,,,,,,
9/11/23,,,,,,
9/12/23,,,,,,
9/13/23,,,,,,
9/14/23,,,,,,
9/15/23,,,,,,
9/16/23,,,,,,
9/17/23,,,,,,
9/18/23,0,,0,60,0,
9/19/23,15,,0,0,0,
9/20/23,0,,60,90,0,
9/21/23,30,,0,150,15,
9/22/23,60,,0,0,0,
9/23/23,150,,0,0,0,
9/24/23,15,,0,90,0,
9/25/23,0,,30,0,0,
9/26/23,45,,0,30,0,
9/27/23,75,,0,90,0,
9/28/23,30,,15,70,0,
9/29/23,0,,0,0,0,
9/30/23,0,,0,0,0,
10/1/23,0,,0,0,0,
10/2/23,30,,30,30,0,
10/3/23,60,,0,0,0,
10/4/23,30,,15,135,0,
10/5/23,0,,0,45,0,
10/6/23,0,,0,0,0,
10/7/23,0,,0,0,0,
10/8/23,,15,15,0,15,
10/9/23,,0,15,60,0,
10/10/23,,15,0,30,0,
10/11/23,,0,0,60,0,
10/12/23,,0,0,0,0,
10/13/23,,0,0,0,0,
10/14/23,,0,0,0,0,
10/15/23,,15,0,0,,75
10/16/23,,0,15,0,,0
10/17/23,,15,0,0,,75
10/18/23,,30,15,0,,0
10/19/23,,0,30,105,,30
10/20/23,,0,0,0,,30
10/21/23,,0,0,0,,0
10/22/23,,70,0,130,,0
10/23/23,,0,0,0,,165
10/24/23,,5,0,0,,120
10/25/23,,0,30,135,,75
10/26/23,,45,0,15,,75
10/27/23,,0,0,60,,75
10/28/23,,50,0,0,,0
10/29/23,,125,0,75,,90
10/30/23,,75,0,15,,80
10/31/23,,15,0,0,,125
11/1/23,,0,15,150,,60
11/2/23,,30,30,60,,120
11/3/23,,0,0,0,,30
11/4/23,,0,30,0,,30
11/5/23,,15,0,0,,30
11/6/23,,90,0,30,,0
11/7/23,,15,0,0,,165
11/8/23,,0,15,45,,0
11/9/23,,0,0,0,,30
11/10/23,,0,45,45,,0
11/11/23,,105,0,0,,0
11/12/23,,45,0,15,,30
11/13/23,,75,30,0,,90
11/14/23,,0,0,0,,90
11/15/23,,0,30,90,,150
11/16/23,,0,0,60,,105
11/17/23,,0,0,0,,60
11/18/23,,0,0,0,,0
11/26/23,,15,0,0,,0
11/27/23,,90,0,75,,60
11/28/23,,60,0,0,,45
11/29/23,,0,30,105,,90
11/30/23,,30,30,60,,90
12/1/23,,0,0,0,,75
12/2/23,,0,0,0,,0
12/3/23,,105,0,45,,30
12/4/23,,0,135,45,,45
12/5/23,,90,75,0,,15
12/6/23,,0,0,0,,0
12/7/23,,60,30,0,,0
12/8/23,,90,0,0,,0
12/9/23,,0,0,180,,0
12/10/23,,0,0,210,,30
12/11/23,,0,0,0,,0
12/12/23,,0,0,0,,0
12/13/23,,0,0,0,,210
12/14/23,,0,0,0,,120
12/15/23,,0,0,0,,0
12/16/23,,0,0,0,,0