Date,GEOL 107,ASTR 210,MATH 257,STAT 207,ANTH 103
1/16/24,0,0,0,0,
1/17/24,0,0,90,0,
1/18/24,0,45,0,0,
1/19/24,0,0,0,0,
1/20/24,0,120,0,0,
1/21/24,0,30,15,0,
1/22/24,0,0,45,0,
1/23/24,0,60,0,0,
1/24/24,0,0,60,90,
1/25/24,60,0,90,30,
1/26/24,0,0,60,0,
1/27/24,0,60,30,105,
1/28/24,30,30,60,0,
1/29/24,0,135,0,0,
1/30/24,45,105,0,0,
1/31/24,0,75,135,0,
2/1/24,0,15,100,0,
2/2/24,0,0,0,0,
2/3/24,0,60,60,0,
2/4/24,30,0,0,0,
2/5/24,90,45,0,0,
2/6/24,0,105,0,90,
2/7/24,0,105,30,60,
2/8/24,0,0,0,0,
2/9/24,0,0,0,0,
2/10/24,0,90,20,0,
2/11/24,30,40,60,60,
2/12/24,30,75,0,0,
2/13/24,30,55,30,135,
2/14/24,0,45,60,0,
2/15/24,0,30,65,30,
2/16/24,0,0,0,45,
2/17/24,0,90,0,0,
2/18/24,45,30,45,30,
2/19/24,0,90,0,30,
2/20/24,30,30,15,60,
2/21/24,0,30,0,195,
2/22/24,0,60,0,30,
2/23/24,0,30,0,30,
2/24/24,0,0,120,0,
2/25/24,15,150,75,0,
2/26/24,15,105,60,0,
2/27/24,15,0,60,60,
2/28/24,0,60,0,0,
2/29/24,0,180,0,15,
3/1/24,0,60,60,0,
3/2/24,0,110,60,0,
3/3/24,0,45,0,0,
3/4/24,0,170,0,30,
3/5/24,55,70,75,25,
3/6/24,0,0,0,0,
3/7/24,0,0,0,0,
3/8/24,0,0,0,0,
3/9/24,0,0,0,0,
3/10/24,0,0,0,0,
3/11/24,0,0,0,0,
3/12/24,0,0,0,0,
3/13/24,0,0,0,0,
3/14/24,0,0,0,0,
3/15/24,0,0,0,0,
3/16/24,0,0,0,0,
3/17/24,0,15,0,0,0
3/18/24,90,0,75,45,45
3/19/24,75,90,0,0,90
3/20/24,15,30,150,0,0
3/21/24,0,0,45,90,60
3/22/24,0,45,0,0,75
3/23/24,0,0,0,0,0
3/24/24,0,0,0,0,0
3/25/24,0,165,60,0,0
3/26/24,45,60,0,180,15
3/27/24,0,75,135,60,45
3/28/24,0,0,0,0,120
3/29/24,0,0,0,60,45
3/30/24,0,0,0,90,0
3/31/24,0,0,0,0,0
4/1/24,0,200,60,0,0
4/2/24,75,130,0,105,0
4/3/24,0,0,90,60,70
4/4/24,0,0,80,40,45
4/5/24,0,0,0,15,75
4/6/24,0,0,90,0,0
4/7/24,0,0,105,0,45
4/8/24,0,0,0,0,0
4/9/24,75,0,0,0,5
4/10/24,0,0,0,0,0
4/11/24,0,0,0,0,150
4/12/24,0,45,0,0,60
4/13/24,0,0,0,0,30
4/14/24,0,225,0,0,0
4/15/24,40,0,215,35,10
4/16/24,40,90,75,120,0
4/17/24,0,105,90,0,45
4/18/24,0,0,75,0,130
4/19/24,0,20,0,0,50
4/20/24,0,75,60,0,0
4/21/24,50,105,15,0,0
4/22/24,0,30,0,60,10
4/23/24,15,0,105,45,75
4/24/24,0,90,0,60,120
4/25/24,0,15,0,90,60
4/26/24,0,0,0,105,15